No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,Num of packets
45143,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23017196 Win=7911 Len=0,,,,,,,428
45144,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23022550 Win=7915 Len=0,,,,,,,
45145,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23020056 Win=7914 Len=0,,,,,,,
45148,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7976722 Win=2145280 Len=0,,,,,,,
45149,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7979582 Win=2145280 Len=0,,,,,,,
45150,31.007649,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7980646 Win=2145280 Len=0,,,,,,,
45154,31.008272,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7988860 Win=2140416 Len=0,,,,,,,
45158,31.014034,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7991720 Win=2144000 Len=0,,,,,,,
45159,31.014216,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7994580 Win=2144000 Len=0,,,,,,,
45160,31.014216,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=7997074 Win=2145280 Len=0,,,,,,,
45167,31.018237,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8002794 Win=2142208 Len=0,,,,,,,
45168,31.019786,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8005288 Win=2144256 Len=0,,,,,,,
45173,31.020298,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8009578 Win=2145280 Len=0,,,,,,,
45174,31.020298,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8013502 Win=2145280 Len=0,,,,,,,
45177,31.024119,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8016362 Win=2144000 Len=0,,,,,,,
45178,31.024119,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8021716 Win=2145280 Len=0,,,,,,,
45179,31.024119,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8019222 Win=2144000 Len=0,,,,,,,
45191,31.032728,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23029700 Win=7899 Len=0,,,,,,,
45192,31.033195,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23030764 Win=7915 Len=0,,,,,,,
45194,31.033531,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23033624 Win=7911 Len=0,,,,,,,
45197,31.034702,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23038978 Win=7915 Len=0,,,,,,,
45198,31.034702,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23036484 Win=7914 Len=0,,,,,,,
45205,31.037799,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23044698 Win=7903 Len=0,,,,,,,
45206,31.037799,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23047192 Win=7911 Len=0,,,,,,,
45208,31.03892,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23050052 Win=7911 Len=0,,,,,,,
45209,31.043705,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23052912 Win=7914 Len=0,,,,,,,
45210,31.043705,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23055406 Win=7915 Len=0,,,,,,,
45214,31.043705,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8029930 Win=2140416 Len=0,,,,,,,
45215,31.043705,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23063620 Win=7915 Len=0,,,,,,,
45216,31.043705,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23059696 Win=7915 Len=0,,,,,,,
45221,31.048648,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8032790 Win=2144000 Len=0,,,,,,,
45222,31.048855,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8035650 Win=2142208 Len=0,,,,,,,
45223,31.048855,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8038144 Win=2144256 Len=0,,,,,,,
45225,31.050877,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23066480 Win=7911 Len=0,,,,,,,
45226,31.050877,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23069340 Win=7911 Len=0,,,,,,,
45227,31.052072,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23071834 Win=7915 Len=0,,,,,,,
45229,31.054492,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23077554 Win=7903 Len=0,,,,,,,
45230,31.054595,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23080048 Win=7911 Len=0,,,,,,,
45236,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23082908 Win=7911 Len=0,,,,,,,
45237,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23085768 Win=7903 Len=0,,,,,,,
45238,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54877 [ACK] Seq=1642 Ack=23088262 Win=7911 Len=0,,,,,,,
45240,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8046358 Win=2140416 Len=0,,,,,,,
45243,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8053508 Win=2145280 Len=0,,,,,,,
45244,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8054572 Win=2145280 Len=0,,,,,,,
45245,31.083578,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8049218 Win=2144000 Len=0,,,,,,,
45252,31.094052,216.58.210.234,10.100.102.6,TCP,60,443  >  54952 [ACK] Seq=7236 Ack=8058862 Win=2145280 Len=0,,,,,,,
