"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=1 Win=8349 Len=0"
"6","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=2861 Win=8353 Len=0"
"7","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=3925 Win=8361 Len=0"
"10","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=8215 Win=8349 Len=0"
"12","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=12139 Win=8361 Len=0"
"13","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=11075 Win=8353 Len=0"
"18","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=16429 Win=8349 Len=0"
"20","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=19289 Win=8353 Len=0"
"21","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=20353 Win=8361 Len=0"
"26","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=26073 Win=8345 Len=0"
"29","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=28567 Win=8353 Len=0"
"30","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=31427 Win=8353 Len=0"
"31","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=36781 Win=8357 Len=0"
"32","0.000000","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=34287 Win=8357 Len=0"
"33","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=41071 Win=8349 Len=0"
"34","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=43931 Win=8353 Len=0"
"35","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=44995 Win=8361 Len=0"
"36","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=49285 Win=8349 Len=0"
"37","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=52145 Win=8353 Len=0"
"38","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=54639 Win=8353 Len=0"
"39","0.000110","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=57499 Win=8353 Len=0"
"42","0.000133","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=60359 Win=8353 Len=0"
"43","0.000133","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=61423 Win=8361 Len=0"
"60","0.074191","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=65713 Win=8349 Len=0"
"61","0.074191","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=69637 Win=8361 Len=0"
"62","0.074191","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=68573 Win=8353 Len=0"
"74","0.078951","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=83571 Win=8327 Len=0"
"75","0.078951","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=86065 Win=8357 Len=0"
"82","0.081244","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=88925 Win=8357 Len=0"
"83","0.081244","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=94279 Win=8361 Len=0"
"89","0.084448","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=99999 Win=8341 Len=0"
"90","0.084448","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=102493 Win=8361 Len=0"
"91","0.084448","216.58.204.10","10.100.102.6","TCP","60","443  >  54564 [ACK] Seq=1 Ack=105353 Win=8353 Len=0"
