"No.","Time","Source","Destination","Protocol","Length","Info"
"5024","4.609218","10.100.102.6","10.100.102.1","DNS","81","Standard query 0x9261 A events.browsiprod.com"
"5064","4.648748","10.100.102.1","10.100.102.6","DNS","394","Standard query response 0x9261 A events.browsiprod.com A 44.236.132.70 A 34.223.158.219 A 44.239.103.219 A 34.216.46.159 A 52.88.1.159 A 54.244.144.90 A 52.12.124.50 A 50.112.144.165 NS ns-729.awsdns-27.net NS ns-1546.awsdns-01.co.uk NS ns-189.awsdns-23.com NS ns-1215.awsdns-23.org A 205.251.192.189 A 205.251.194.217 A 205.251.196.191"
"10085","10.613635","10.100.102.6","10.100.102.1","DNS","75","Standard query 0xbc01 A ssl.gstatic.com"
"10121","10.631732","10.100.102.6","10.100.102.1","DNS","88","Standard query 0xd46e A 17.client-channel.google.com"
"10130","10.635359","10.100.102.1","10.100.102.6","DNS","346","Standard query response 0xbc01 A ssl.gstatic.com A 216.58.210.227 NS ns1.google.com NS ns3.google.com NS ns4.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"10145","10.653618","10.100.102.1","10.100.102.6","DNS","104","Standard query response 0xd46e A 17.client-channel.google.com A 108.177.126.189"
"11454","12.459197","10.100.102.6","10.100.102.1","DNS","73","Standard query 0x3909 A yt3.ggpht.com"
"11470","12.467741","10.100.102.1","10.100.102.6","DNS","389","Standard query response 0x3909 A yt3.ggpht.com CNAME photos-ugc.l.googleusercontent.com A 172.217.169.33 NS ns1.google.com NS ns4.google.com NS ns2.google.com NS ns3.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"14479","15.223812","10.100.102.6","10.100.102.1","DNS","80","Standard query 0x234c A fonts.googleapis.com"
"14480","15.223987","10.100.102.6","10.100.102.1","DNS","72","Standard query 0x5161 A in.bgu.ac.il"
"14488","15.226849","10.100.102.6","10.100.102.1","DNS","83","Standard query 0xd13b A safebrowsing.google.com"
"14489","15.227046","10.100.102.6","10.100.102.1","DNS","75","Standard query 0x197a A js.nagich.co.il"
"14495","15.266940","10.100.102.6","10.100.102.1","DNS","80","Standard query 0x234c A fonts.googleapis.com"
"14496","15.266940","10.100.102.6","10.100.102.1","DNS","72","Standard query 0x5161 A in.bgu.ac.il"
"14497","15.266971","10.100.102.6","10.100.102.1","DNS","83","Standard query 0xd13b A safebrowsing.google.com"
"14498","15.266978","10.100.102.6","10.100.102.1","DNS","75","Standard query 0x197a A js.nagich.co.il"
"14518","15.283323","10.100.102.1","10.100.102.6","DNS","323","Standard query response 0x234c A fonts.googleapis.com A 216.58.213.10 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"14520","15.286567","10.100.102.1","10.100.102.6","DNS","366","Standard query response 0xd13b A safebrowsing.google.com CNAME sb.l.google.com A 216.58.210.206 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"14522","15.291224","10.100.102.1","10.100.102.6","DNS","362","Standard query response 0x197a A js.nagich.co.il A 104.26.3.20 A 104.26.2.20 A 172.67.71.61 NS carter.ns.cloudflare.com NS karina.ns.cloudflare.com A 173.245.59.80 A 108.162.193.80 A 172.64.33.80 A 172.64.32.178 A 108.162.192.178 A 173.245.58.178 AAAA 2803:f800:50::6ca2:c150 AAAA 2a06:98c1:50::ac40:2150 AAAA 2606:4700:58::adf5:3b50"
"14523","15.291224","10.100.102.1","10.100.102.6","DNS","323","Standard query response 0x234c A fonts.googleapis.com A 216.58.213.10 NS ns4.google.com NS ns3.google.com NS ns1.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:38::a"
"14524","15.291224","10.100.102.1","10.100.102.6","DNS","158","Standard query response 0x5161 A in.bgu.ac.il A 132.72.118.23 NS dns1.bgu.ac.il NS dns2.bgu.ac.il A 132.72.140.46 A 132.72.140.45"
"14525","15.291224","10.100.102.1","10.100.102.6","DNS","362","Standard query response 0x197a A js.nagich.co.il A 104.26.3.20 A 104.26.2.20 A 172.67.71.61 NS carter.ns.cloudflare.com NS karina.ns.cloudflare.com A 173.245.59.80 A 108.162.193.80 A 172.64.33.80 A 172.64.32.178 A 108.162.192.178 A 173.245.58.178 AAAA 2803:f800:50::6ca2:c150 AAAA 2a06:98c1:50::ac40:2150 AAAA 2606:4700:58::adf5:3b50"
"14527","15.291750","10.100.102.1","10.100.102.6","DNS","366","Standard query response 0xd13b A safebrowsing.google.com CNAME sb.l.google.com A 216.58.210.206 NS ns1.google.com NS ns4.google.com NS ns3.google.com NS ns2.google.com A 216.239.32.10 A 216.239.34.10 A 216.239.36.10 A 216.239.38.10 AAAA 2001:4860:4802:32::a AAAA 2001:4860:4802:34::a AAAA 2001:4860:4802:36::a AAAA 2001:4860:4802:38::a"
"14529","15.292206","10.100.102.6","10.100.102.1","DNS","84","Standard query 0x0b49 A www.googleadservices.com"
"14530","15.292207","10.100.102.6","10.100.102.1","DNS","84","Standard query 0x2378 A www.google-analytics.com"
"14533","15.292722","10.100.102.6","10.100.102.1","DNS","80","Standard query 0xca65 A cdnjs.cloudflare.com"
"14535","15.329208","10.100.102.6","10.100.102.1","DNS","84","Standard query 0x0b49 A www.googleadservices.com"
"14536","15.329208","10.100.102.6","10.100.102.1","DNS","80","Standard query 0xca65 A cdnjs.cloudflare.com"
"14537","15.329244","10.100.102.6","10.100.102.1","DNS","84","Standard query 0x2378 A www.google-analytics.com"
