"No.","Time","Source","Destination","Protocol","Length","Info"
"936","1.296045","10.100.102.4","10.100.102.255","UDP","308","58560  >  20002 Len=266"
"1398","1.997646","10.100.102.6","74.125.143.189","UDP","75","64707  >  443 Len=33"
"1473","2.095884","74.125.143.189","10.100.102.6","UDP","67","443  >  64707 Len=25"
"1511","2.178052","10.100.102.6","62.0.80.15","UDP","840","55185  >  443 Len=798"
"1570","2.190812","62.0.80.15","10.100.102.6","UDP","71","443  >  55185 Len=29"
"1571","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1572","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1573","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1574","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1575","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1576","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1577","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1578","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1579","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1580","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1581","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1582","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1583","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1584","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1585","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1586","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1587","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1588","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1589","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1590","2.190812","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1591","2.191078","10.100.102.6","62.0.80.15","UDP","78","55185  >  443 Len=36"
"1592","2.191154","10.100.102.6","62.0.80.15","UDP","75","55185  >  443 Len=33"
"1593","2.193018","10.100.102.6","62.0.80.15","UDP","75","55185  >  443 Len=33"
"1594","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1595","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1596","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1597","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1598","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1599","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1600","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1601","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1602","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1603","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1604","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1605","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1606","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1607","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1608","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1609","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1610","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1611","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1612","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1613","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1614","2.199230","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1615","2.199453","10.100.102.6","62.0.80.15","UDP","75","55185  >  443 Len=33"
"1616","2.199545","10.100.102.6","62.0.80.15","UDP","75","55185  >  443 Len=33"
"1617","2.201111","10.100.102.6","62.0.80.15","UDP","75","55185  >  443 Len=33"
"1618","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
"1619","2.214770","62.0.80.15","10.100.102.6","UDP","1392","443  >  55185 Len=1350"
